id,label
Hösten,Hösten
Juni,Juni
Maj,Maj
Augusti,Augusti
September,September
December,December
Juli,Juli
April,April
Februari,Februari
Mars,Mars
Oktober,Oktober
Januari,Januari
November,November
Våren,Våren
